district_name,,available_electric_bikes,available_mechanical_bikes,available_bikes,available_docks,status,last_update
Malakoff,50%,2.0,1.0,3.0,21.0,1.0,2023-05-31 09:12:49
Malakoff,75%,3.0,2.0,5.0,31.0,1.0,2023-06-02 21:08:18
Malakoff,max,19.0,16.0,23.0,52.0,1.0,2023-06-03 21:35:37
Malakoff,std,2.4980763411813567,1.918459894591503,3.427173716048313,11.712685538661965,0.0,
Meudon,count,1228.0,1228.0,1228.0,1228.0,1228.0,1228
Meudon,mean,3.256514657980456,4.472312703583062,7.728827361563518,18.62459283387622,1.0,2023-05-31 14:28:25.087133696
Meudon,min,0.0,0.0,0.0,0.0,1.0,2023-05-28 10:50:33
Meudon,25%,1.0,0.0,2.0,14.0,1.0,2023-05-29 13:20:33
Meudon,50%,3.0,1.0,4.0,18.0,1.0,2023-05-31 09:12:49
Meudon,75%,4.0,5.0,10.0,21.0,1.0,2023-06-02 21:08:19
Meudon,max,18.0,32.0,34.0,42.0,1.0,2023-06-03 21:35:37
Meudon,std,3.0347347868230323,7.764675545963566,8.658357538587513,7.44509581867964,0.0,
Montreuil,count,7061.0,7061.0,7061.0,7061.0,7061.0,7061
Montreuil,mean,3.4492281546523156,1.8721144313836566,5.321342586035972,28.193032148420905,1.0,2023-05-31 14:28:24.819147520
Montreuil,min,0.0,0.0,0.0,0.0,1.0,2023-05-28 10:50:33
Montreuil,25%,1.0,0.0,1.0,20.0,1.0,2023-05-29 13:20:33
