district_name,,available_electric_bikes,available_mechanical_bikes,available_bikes,available_docks,status
Le Pré-Saint-Gervais,75%,5.0,1.0,6.0,22.0,1.0
Le Pré-Saint-Gervais,max,13.0,7.0,18.0,28.0,1.0
Les Lilas,count,878.0,878.0,878.0,878.0,878.0
Les Lilas,mean,2.4043280182232345,0.12300683371298406,2.5273348519362187,31.51138952164009,0.8610478359908884
Les Lilas,std,3.357026626217652,0.40621632316725415,3.4546820086026364,15.029556062028114,0.34609375149556526
Les Lilas,min,0.0,0.0,0.0,0.0,0.0
Les Lilas,25%,0.0,0.0,0.0,27.0,1.0
Les Lilas,50%,1.0,0.0,1.0,34.0,1.0
Les Lilas,75%,3.0,0.0,4.0,43.75,1.0
Les Lilas,max,19.0,5.0,20.0,50.0,1.0
Levallois-Perret,count,2772.0,2772.0,2772.0,2772.0,2772.0
Levallois-Perret,mean,4.020923520923521,5.049062049062049,9.06998556998557,22.427849927849927,1.0
Levallois-Perret,std,4.404927625068932,5.998957191988682,9.093650903541194,11.014549774877716,0.0
Levallois-Perret,min,0.0,0.0,0.0,0.0,1.0
Levallois-Perret,25%,1.0,1.0,3.0,16.0,1.0
Levallois-Perret,50%,3.0,3.0,6.0,21.0,1.0
Levallois-Perret,75%,5.0,7.0,12.0,27.0,1.0
Levallois-Perret,max,31.0,38.0,49.0,50.0,1.0
Maisons-Alfort,count,1764.0,1764.0,1764.0,1764.0,1764.0
Maisons-Alfort,mean,4.125850340136054,14.467687074829932,18.593537414965986,6.280612244897959,1.0
Maisons-Alfort,std,3.1397819962265827,10.312011570124682,10.541966113250213,4.2922252219663015,0.0
Maisons-Alfort,min,0.0,0.0,1.0,0.0,1.0
Maisons-Alfort,25%,2.0,7.0,11.0,3.0,1.0
Maisons-Alfort,50%,4.0,11.0,16.0,6.0,1.0
Maisons-Alfort,75%,6.0,23.0,25.0,9.0,1.0
Maisons-Alfort,max,16.0,42.0,44.0,20.0,1.0
Malakoff,count,2016.0,2016.0,2016.0,2016.0,2016.0
Malakoff,mean,2.3700396825396823,1.6026785714285714,3.972718253968254,24.864583333333332,1.0
Malakoff,std,2.334969927896575,1.818944358279894,3.118463347485751,11.172769788170438,0.0
Malakoff,min,0.0,0.0,0.0,1.0,1.0
Malakoff,25%,1.0,0.0,2.0,17.0,1.0
Malakoff,50%,2.0,1.0,3.0,21.0,1.0
Malakoff,75%,4.0,2.0,6.0,31.0,1.0
Malakoff,max,13.0,12.0,18.0,51.0,1.0
Meudon,count,1008.0,1008.0,1008.0,1008.0,1008.0
Meudon,mean,3.25,4.4811507936507935,7.7311507936507935,18.57638888888889,1.0
Meudon,std,3.1624346710500415,7.344119364525374,8.400013114443311,5.183439182937624,0.0
Meudon,min,0.0,0.0,0.0,8.0,1.0
Meudon,25%,1.0,0.0,2.0,16.0,1.0
Meudon,50%,2.0,1.0,4.0,18.0,1.0
Meudon,75%,5.0,6.0,11.0,21.0,1.0
Meudon,max,15.0,27.0,31.0,37.0,1.0
Montreuil,count,5796.0,5796.0,5796.0,5796.0,5796.0
Montreuil,mean,3.4594547964113183,1.740855762594893,5.200310559006211,27.928053830227743,1.0
Montreuil,std,3.44210020457259,2.6562887223725404,4.9285567027144195,10.48054196452148,0.0
Montreuil,min,0.0,0.0,0.0,0.0,1.0
Montreuil,25%,1.0,0.0,2.0,20.0,1.0
Montreuil,50%,2.0,1.0,4.0,28.0,1.0
Montreuil,75%,5.0,2.0,7.0,35.0,1.0
Montreuil,max,23.0,21.0,27.0,55.0,1.0
Montrouge,count,3276.0,3276.0,3276.0,3276.0,3276.0
Montrouge,mean,2.027167277167277,1.2725885225885225,3.2997557997557996,23.400793650793652,1.0
Montrouge,std,2.126286381172089,1.81424208298474,3.172960175644487,5.63480888102261,0.0
Montrouge,min,0.0,0.0,0.0,3.0,1.0
Montrouge,25%,0.0,0.0,1.0,20.0,1.0
Montrouge,50%,1.0,1.0,3.0,23.0,1.0
Montrouge,75%,3.0,2.0,5.0,28.0,1.0
Montrouge,max,13.0,10.0,17.0,36.0,1.0
Nanterre,count,2016.0,2016.0,2016.0,2016.0,2016.0
Nanterre,mean,3.3268849206349205,3.1205357142857144,6.447420634920635,20.68154761904762,1.0
Nanterre,std,2.8107894599629835,2.3148790300544633,4.150662991515006,8.69338625344448,0.0
Nanterre,min,0.0,0.0,0.0,1.0,1.0
Nanterre,25%,1.0,1.0,3.0,15.0,1.0
Nanterre,50%,3.0,3.0,6.0,18.0,1.0
Nanterre,75%,5.0,5.0,9.0,26.25,1.0
Nanterre,max,16.0,9.0,21.0,42.0,1.0
Neuilly-sur-Seine,count,3528.0,3528.0,3528.0,3528.0,3528.0
Neuilly-sur-Seine,mean,3.549886621315193,4.12641723356009,7.676303854875283,16.012755102040817,1.0
Neuilly-sur-Seine,std,3.6498742537559252,4.077002584596135,6.698715732050635,8.161997905894312,0.0
Neuilly-sur-Seine,min,0.0,0.0,0.0,0.0,1.0
Neuilly-sur-Seine,25%,1.0,1.0,2.0,11.0,1.0
Neuilly-sur-Seine,50%,2.0,3.0,6.0,18.0,1.0
Neuilly-sur-Seine,75%,5.0,7.0,12.0,22.0,1.0
Neuilly-sur-Seine,max,18.0,19.0,28.0,34.0,1.0
Nogent-sur-Marne,count,1009.0,1009.0,1009.0,1009.0,1009.0
Nogent-sur-Marne,mean,5.774033696729435,7.755203171456888,13.529236868186324,25.7205153617443,0.7502477700693756
Nogent-sur-Marne,std,7.248185301271057,7.9948231751884045,10.948535249951615,13.028174038665504,0.4330842210440642
Nogent-sur-Marne,min,0.0,0.0,0.0,0.0,0.0
Nogent-sur-Marne,25%,0.0,0.0,0.0,14.0,1.0
Nogent-sur-Marne,50%,4.0,4.0,13.0,30.0,1.0
Nogent-sur-Marne,75%,7.0,15.0,24.0,35.0,1.0
Nogent-sur-Marne,max,31.0,24.0,34.0,48.0,1.0
Noisy-le-Sec,count,504.0,504.0,504.0,504.0,504.0
Noisy-le-Sec,mean,10.555555555555555,7.678571428571429,18.234126984126984,9.267857142857142,1.0
Noisy-le-Sec,std,4.792813632283865,3.5686754512005066,5.232254495826009,6.275142555106388,0.0
Noisy-le-Sec,min,0.0,2.0,5.0,1.0,1.0
Noisy-le-Sec,25%,7.0,5.0,15.0,4.0,1.0
Noisy-le-Sec,50%,11.0,8.0,19.0,8.0,1.0
Noisy-le-Sec,75%,14.0,9.0,22.0,13.0,1.0
Noisy-le-Sec,max,20.0,19.0,28.0,25.0,1.0
Pantin,count,5292.0,5292.0,5292.0,5292.0,5292.0
Pantin,mean,3.3182161753590327,2.0806878306878307,5.398904006046863,20.200302343159485,1.0
Pantin,std,2.9812658916168053,2.281483827505349,4.216430535044766,10.745344242554276,0.0
Pantin,min,0.0,0.0,0.0,0.0,1.0
Pantin,25%,1.0,0.0,2.0,14.0,1.0
Pantin,50%,2.0,1.0,4.0,18.0,1.0
Pantin,75%,5.0,3.0,8.0,23.0,1.0
